Notebook_Timestamp_Neck,"Quaternion_Orientation_(W, X, Y, Z)_Neck",Sensor_Timestamp,Status_Neck,Label_Neck,Notebook_Timestamp_Back,"Quaternion_Orientation_(W, X, Y, Z)_Back",Status_Back,Label_Back
01:56:20.003000,"(0.8322255611419678, -0.04902138561010361, -0.5492128729820251, -0.05801502615213394)",0 days 00:00:00,00100000,neck_good_10,01:56:19.997000,"(0.7108583450317383, -0.2387552261352539, -0.6479194760322571, 0.13370534777641296)",00100000,back_good_10
01:56:20.033000,"(0.8322974443435669, -0.04904297739267349, -0.5491018891334534, -0.058029431849718094)",0 days 00:00:00.020012,00100000,neck_good_10,01:56:20.011000,"(0.7109321355819702, -0.23853595554828644, -0.6478711366653442, 0.1339396834373474)",00100000,back_good_10
01:56:20.034000,"(0.8323510885238647, -0.049045007675886154, -0.5490192770957947, -0.05805663764476776)",0 days 00:00:00.040023,00100000,neck_good_10,01:56:20.012000,"(0.7110407948493958, -0.23825488984584808, -0.6478278636932373, 0.13407395780086517)",00100000,back_good_10
01:56:20.063000,"(0.8324238061904907, -0.04885202646255493, -0.5489391088485718, -0.05795016139745712)",0 days 00:00:00.060031,00100000,neck_good_10,01:56:20.013000,"(0.7111358046531677, -0.23808898031711578, -0.6477816104888916, 0.13408851623535156)",00100000,back_good_10
01:56:20.078000,"(0.8325163722038269, -0.0486564114689827, -0.5488342046737671, -0.057796839624643326)",0 days 00:00:00.080042,00100000,neck_good_10,01:56:20.027000,"(0.7111834287643433, -0.2379899024963379, -0.6477546095848083, 0.13414445519447327)",00100000,back_good_10
01:56:20.108000,"(0.8326008319854736, -0.048610810190439224, -0.54872065782547, -0.05771031603217125)",0 days 00:00:00.100055,00100000,neck_good_10,01:56:20.072000,"(0.7112292051315308, -0.23787599802017212, -0.6477116942405701, 0.1343129277229309)",00100000,back_good_10
01:56:20.138000,"(0.8326603770256042, -0.04861940070986748, -0.5486339926719666, -0.0576687715947628)",0 days 00:00:00.120066,00100000,neck_good_10,01:56:20.073000,"(0.7112804055213928, -0.23767714202404022, -0.64767986536026, 0.1345485895872116)",00100000,back_good_10
01:56:20.153000,"(0.832667887210846, -0.04864250123500824, -0.5486069321632385, -0.05769633874297142)",0 days 00:00:00.140078,00100000,neck_good_10,01:56:20.101000,"(0.7113251090049744, -0.23742003738880157, -0.6476770043373108, 0.1347821056842804)",00100000,back_good_10
01:56:20.168000,"(0.8327010273933411, -0.048507653176784515, -0.5485756397247314, -0.05762888118624687)",0 days 00:00:00.160087,00100000,neck_good_10,01:56:20.132000,"(0.711349606513977, -0.2372010201215744, -0.6476945281028748, 0.1349540650844574)",00100000,back_good_10
01:56:20.198000,"(0.8327749967575073, -0.04831777513027191, -0.5484901666641235, -0.05753122642636299)",0 days 00:00:00.180099,00100000,neck_good_10,01:56:20.161000,"(0.7113684415817261, -0.236953467130661, -0.647713840007782, 0.13518495857715607)",00100000,back_good_10
01:56:20.199000,"(0.8328502178192139, -0.04818473383784294, -0.5483981966972351, -0.05743318796157837)",0 days 00:00:00.200110,00100000,neck_good_10,01:56:20.163000,"(0.7113788723945618, -0.23677466809749603, -0.6477484107017517, 0.13527843356132507)",00100000,back_good_10
01:56:20.213000,"(0.8329132795333862, -0.048263952136039734, -0.5482997894287109, -0.05739457160234451)",0 days 00:00:00.220121,00100000,neck_good_10,01:56:20.192000,"(0.711402952671051, -0.2365645319223404, -0.6477741003036499, 0.1353963315486908)",00100000,back_good_10
01:56:20.243000,"(0.8329504132270813, -0.048207979649305344, -0.5482578873634338, -0.05730947107076645)",0 days 00:00:00.240129,00100000,neck_good_10,01:56:20.193000,"(0.7114707231521606, -0.23637044429779053, -0.6477470397949219, 0.13550905883312225)",00100000,back_good_10
01:56:20.258000,"(0.8330002427101135, -0.04808425530791283, -0.5482094287872314, -0.057155970484018326)",0 days 00:00:00.260139,00100000,neck_good_10,01:56:20.221000,"(0.7114970088005066, -0.23618121445178986, -0.6477612853050232, 0.1356343924999237)",00100000,back_good_10
01:56:20.273000,"(0.8330580592155457, -0.048172179609537125, -0.5481236577033997, -0.057070691138505936)",0 days 00:00:00.280149,00100000,neck_good_10,01:56:20.236000,"(0.7114830613136292, -0.23599906265735626, -0.6478084921836853, 0.13580146431922913)",00100000,back_good_10
01:56:20.318000,"(0.8331076502799988, -0.04833000525832176, -0.5480396151542664, -0.05703067034482956)",0 days 00:00:00.300159,00100000,neck_good_10,01:56:20.252000,"(0.7114831209182739, -0.2358759045600891, -0.6478222012519836, 0.13595126569271088)",00100000,back_good_10
01:56:20.333000,"(0.8331335783004761, -0.04821629077196121, -0.548025906085968, -0.0568796806037426)",0 days 00:00:00.320172,00100000,neck_good_10,01:56:20.266000,"(0.7114652395248413, -0.23576469719409943, -0.6478586196899414, 0.13606810569763184)",00100000,back_good_10
